id,coin,direction,category,entry_price,exit_price,tp_hit,pnl_pct,pnl_usd,pattern,signal_score,opened_at,closed_at,bybit_order_id,conf_pct
RENDER_LONG_2026-06-15_1821,RENDER,LONG,PARTIAL_WIN,1.645,1.85,TP1,0.0,0.0,Stage 2 expansion — liquidity reclaim,,2026-06-12 22:31,2026-06-15 18:21,,89.0
WLD_SHORT_2026-06-15_0721,WLD,SHORT,LOSS,0.5025,0.528,SL,0.0,0.0,LH/LL breakdown — RS failure vs BTC,,2026-06-12 22:31,2026-06-15 07:21,,91.0
ENA_SHORT_2026-06-15_2021,ENA,SHORT,LOSS,0.0835,0.088,SL,0.0,0.0,7d negative divergence — distribution stage,,2026-06-12 22:31,2026-06-15 20:21,,89.0
RENDER_LONG_2026-06-15_0451,RENDER,LONG,PARTIAL_WIN,1.64,1.8,TP1,0.0,0.0,"Momentum expansion retest — 7.37% 24h, AI narrative strength, Stage 2 structure",,2026-06-12 22:47,2026-06-15 04:51,,88.0
WLD_SHORT_2026-06-14_1321,WLD,SHORT,LOSS,0.494,0.518,SL,0.0,0.0,"RS failure — -4.84% 24h, -10.73% 7d, LH/LL structure, distribution stage 4-5",,2026-06-12 22:47,2026-06-14 13:21,,91.0
ZRO_SHORT_2026-06-15_0921,ZRO,SHORT,LOSS,0.93,0.968,SL,0.0,0.0,"Breakdown continuation — -1.41% 24h, -8.98% 7d, dead momentum, weak base",,2026-06-12 22:47,2026-06-15 09:21,,89.0
ENA_SHORT_2026-06-13_2021,ENA,SHORT,LOSS,0.08,0.0845,SL,0.0,0.0,RS failure — -13.16% 7d bear continuation,,2026-06-13 12:57,2026-06-13 20:21,,91.0
INJ_SHORT_2026-06-15_1851,INJ,SHORT,LOSS,5.16,5.48,SL,0.0,0.0,Dead cat bounce failure — breakdown structure,,2026-06-13 12:57,2026-06-15 18:51,,90.0
XLM_SHORT_2026-06-15_1851,XLM,SHORT,LOSS,0.189,0.196,SL,0.0,0.0,LH/LL breakdown — -3.90% 7d laggard distribution,,2026-06-13 12:57,2026-06-15 18:51,,89.0
ADA_LONG_2026-06-15_0651,ADA,LONG,PARTIAL_WIN,0.169,0.182,TP1,0.0,0.0,Stage 2 expansion — HH/HL structure intact,,2026-06-13 17:03,2026-06-15 06:51,,88.0
FF_SHORT_2026-06-15_0021,FF,SHORT,PARTIAL_WIN,0.07925,0.07,TP1,0.0,0.0,"Laggard breakdown — -13.72% 7d, no base formation",,2026-06-13 17:03,2026-06-15 00:21,,88.0
WLD_LONG_2026-06-14_1321,WLD,LONG,PARTIAL_WIN,0.465,0.52,TP1,0.0,0.0,Bull flag continuation — compression breakout,,2026-06-13 18:03,2026-06-14 13:21,,89.0
CHZ_SHORT_2026-06-16_0951,CHZ,SHORT,PARTIAL_WIN,0.02685,0.0238,TP1,0.0,0.0,"RS failure — dead momentum, distribution structure",,2026-06-13 20:04,2026-06-16 09:51,,88.0
NEAR_LONG_2026-06-15_1121,NEAR,LONG,PARTIAL_WIN,2.11,2.35,TP1,0.0,0.0,"Stage 2 breakout retest — HH/HL structure, 7d +16.16%, compression reclaim",,2026-06-14 00:03,2026-06-15 11:21,,91.0
WLD_LONG_2026-06-15_0851,WLD,LONG,PARTIAL_WIN,0.493,0.545,TP1,0.0,0.0,"Stage 2 expansion retest, +22.50% 7d, vol quality healthy 0.016, pullback entry",,2026-06-14 00:03,2026-06-15 08:51,,88.0
XLM_SHORT_2026-06-15_1921,XLM,SHORT,LOSS,0.1925,0.2,SL,0.0,0.0,"7d -7.76% relative weakness, LH forming, RS failure vs BTC/ETH, dead momentum",,2026-06-14 00:03,2026-06-15 19:21,,88.0
FF_SHORT_2026-06-15_0021,FF,SHORT,PARTIAL_WIN,0.0805,0.07,TP1,0.0,0.0,"7d -14.71% persistent downtrend, Stage 4-5 distribution, laggard structure, breakdown continuation",,2026-06-14 00:03,2026-06-15 00:21,,87.0
ENA_SHORT_2026-06-15_2251,ENA,SHORT,LOSS,0.0845,0.09,SL,0.0,0.0,"RS failure — 7d -10.39% while market rallies, dead cat bounce exhaustion",,2026-06-14 10:04,2026-06-15 22:51,,88.0
BCH_SHORT_2026-06-15_1721,BCH,SHORT,LOSS,207.75,215.5,SL,0.0,0.0,"Breakdown retest — 7d -9.48%, LH/LL structure, RS failure vs BTC during BTC recovery",,2026-06-14 14:03,2026-06-15 17:21,,87.0
ENA_SHORT_2026-06-15_2251,ENA,SHORT,LOSS,0.0845,0.09,SL,0.0,0.0,"RS failure — Stage 5 distribution, -10.46% 7d",,2026-06-15 00:03,2026-06-15 22:51,,89.0
INJ_SHORT_2026-06-15_1821,INJ,SHORT,LOSS,5.125,5.42,SL,0.0,0.0,"LH/LL structure — breakdown retest, 7d -7.78%",,2026-06-15 02:04,2026-06-15 18:21,,88.0
AVAX_SHORT_2026-06-15_2021,AVAX,SHORT,LOSS,6.625,6.95,SL,0.0,0.0,"Bearish continuation — Stage 4-5 distribution, 24h -4.50% 7d -4.45%",,2026-06-15 02:04,2026-06-15 20:21,,86.0
BCH_SHORT_2026-06-15_1821,BCH,SHORT,LOSS,207.5,218,SL,0.0,0.0,"Breakdown — -3.42% 24h, -8.44% 7d, dead momentum, LH/LL confirmed",,2026-06-15 04:04,2026-06-15 18:21,,88.0
NEAR_LONG_2026-06-15_1821,NEAR,LONG,PARTIAL_WIN,2.165,2.42,TP1,0.0,0.0,HH/HL expansion — breakout retest of weekly resistance reclaim,,2026-06-15 06:03,2026-06-15 18:21,,87.0
SOL_LONG_2026-06-15_2351,SOL,LONG,PARTIAL_WIN,70.15,75.5,TP1,0.0,0.0,Breakout retest — Stage 2 expansion,,2026-06-15 14:03,2026-06-15 23:51,,91.0
JTO_LONG_2026-06-15_2121,JTO,LONG,PARTIAL_WIN,0.59,0.67,TP1,0.0,0.0,Momentum breakout retest — HH/HL structure intact,,2026-06-15 16:03,2026-06-15 21:21,,89.0
TIA_LONG_2026-06-17_0351,TIA,LONG,PARTIAL_WIN,0.344,0.39,TP1,0.0,0.0,Stage 2 expansion retest — relative strength emerging,,2026-06-15 16:03,2026-06-17 03:51,,87.0
H_SHORT_2026-06-15_1851,H,SHORT,PARTIAL_WIN,0.49,0.42,TP1,0.0,0.0,RS failure — catastrophic structure breakdown,,2026-06-15 18:04,2026-06-15 18:51,,86.0
H_SHORT_2026-06-15_2021,H,SHORT,LOSS,0.35,0.385,SL,0.0,0.0,"Stage 5 distribution — catastrophic -29% 24h/-59.96% 7d, dead bounce setup, RS failure vs entire market",,2026-06-15 20:04,2026-06-15 20:21,,91.0
AERO_LONG_2026-06-16_2221,AERO,LONG,PARTIAL_WIN,0.4215,0.475,TP1,0.0,0.0,Stage 2 breakout retest — 7d momentum expansion,,2026-06-15 22:03,2026-06-16 22:21,,90.0
ZRO_LONG_2026-06-16_0921,ZRO,LONG,LOSS,1.1475,1.09,SL,0.0,0.0,Breakout retest — 30% 24h surge with healthy Vol/MCap,,2026-06-15 22:03,2026-06-16 09:21,,88.0
AERO_LONG_2026-06-16_1851,AERO,LONG,PARTIAL_WIN,0.4075,0.46,TP1,0.0,0.0,"Stage 2 breakout — +20.75% 24h / +24% 7d, Vol/MCap 0.012 healthy, momentum expansion",,2026-06-16 00:03,2026-06-16 18:51,,89.0
H_SHORT_2026-06-16_0051,H,SHORT,PARTIAL_WIN,0.4325,0.36,TP1,0.0,0.0,"Breakdown continuation — -16.19% 24h / -58.64% 7d, LH/LL structure, $510M mcap eligible",,2026-06-16 00:03,2026-06-16 00:51,,89.0
XRP_LONG_2026-06-18_1121,XRP,LONG,LOSS,1.24,1.18,SL,0.0,0.0,Breakout retest — momentum continuation with volume,,2026-06-16 02:04,2026-06-18 11:21,,91.0
H_SHORT_2026-06-16_1451,H,SHORT,PARTIAL_WIN,0.375,0.3,TP1,0.0,0.0,Stage 5 distribution collapse — catastrophic RS failure -33%,,2026-06-16 02:04,2026-06-16 14:51,,91.0
ENA_SHORT_2026-06-17_2321,ENA,SHORT,LOSS,0.0875,0.093,SL,0.0,0.0,"RS failure — 7d -4.43% while BTC +4.34%, Stage 4-5 distribution",,2026-06-16 06:04,2026-06-17 23:21,,90.0
NEAR_LONG_2026-06-18_651,NEAR,LONG,LOSS,2.33,2.19,SL,0.0,0.0,HH/HL expansion — momentum continuation,,2026-06-16 08:04,2026-06-18 6:51,,91.0
CHZ_SHORT_2026-06-19_949,CHZ,SHORT,PARTIAL_WIN,0.0252,0.0222,TP1,0.0,0.0,"Bear expansion — 24h -5.09%, 7d -8.12%, RS failure vs BTC and dataset",,2026-06-16 14:04,2026-06-19 9:49,,86.0
INJ_LONG_2026-06-17_1521,INJ,LONG,LOSS,5.825,5.5,SL,0.0,0.0,Breakout retest — liquidity reclaim above $5.80 pivot,,2026-06-16 20:04,2026-06-17 15:21,,89.0
